1717356649,PIFS,1,2,0,0.6598369533161019,0.20344230199650754,0.7516175690776803,0.37354075655554636,0.835900068435891,0.40483667520093325
1717358338,PIFS,1,2,1,0.6742221905101518,0.25492605779348737,0.7606390155810812,0.45566816468148436,0.8401900556901785,0.3570459275878475
1717360015,PIFS,1,2,2,0.6348601026240122,0.23572913114477395,0.703437706997415,0.4413622020363599,0.8382474175679264,0.3570997145159525
1718695549,test_outputs_old,1,2,0,0.671340404617974,0.2501238265762851,0.3644595747806502,0.7833424131433545,0.41825787915159574,0.8213562643865273,0.48025969437306965
1718704734,test_outputs_old,1,2,2,0.6107224556144815,0.2523575790631497,0.3571405528710624,0.7120644878660718,0.5339099183256848,0.7944014503930457,0.3436964719213592
1718791209,test_outputs_old_alpha25,1,2,0,0.668967773386875,0.25472170480187645,0.368956485308799,0.7919115689384835,0.42932695952900185,0.8087354808221612,0.4325688262360483
1718796565,test_outputs_old_alpha25,1,2,1,0.6285380628042091,0.2651390321564787,0.3729534405326721,0.7697081756230671,0.5138312088543406,0.785698978231846,0.36252863755027753
1718801878,test_outputs_old_alpha25,1,2,2,0.6102344135826914,0.2524463394013051,0.35714589285269543,0.7106605067295342,0.5369874889261581,0.8002560323254667,0.3439904963492764
1718811946,test_alpha25,1,2,0,0.6985712681136421,0.27011482031524875,0.38958844318690455,0.803443453466242,0.44819899111783473,0.831063429883942,0.3973746208222237
1718817488,test_alpha25,1,2,1,0.6750895179296545,0.24306792145774114,0.3574389290589508,0.782389620431277,0.5057982950711709,0.8214179413975462,0.3076024721994332
1718822795,test_alpha25,1,2,2,0.6282118926821221,0.25664288494800147,0.36441259418498145,0.715970905843801,0.5609325121689899,0.8175295065672359,0.32910918999800914
1718850470,test_alpha25_beta25,1,2,0,0.6946293270332304,0.2674878762024449,0.386241765163695,0.7923830936467782,0.43992047692478886,0.8382384144765962,0.4208878728244243
1718850470,test_alpha_25_beta25,1,2,1,0,0.6486336366236994,0.25879508544256374,0.36997549962650017,
1718859539,test_alpha25_beta25,1,2,2,0.6250198310793088,0.25860702408674174,0.36584338188826054,0.7153105335352107,0.5513659873316014,0.812762085809916,0.34128053272876746
1718881157,test_alpha25_beta75,1,2,0,0.6722308749677128,0.25321921828539007,0.3678680847462485,0.7903437444430794,0.43057194333394155,0.8164276647195879,0.4506799749270587
1718968236,test_alpha25_beta75,1,2,1,0.6452579431646828,0.25909231518238307,0.36972704511618637,0.7888570769629176,0.506852389392627,0.7843875857810523,0.3420836831757302
1718889146,test_alpha25_beta75,1,2,2,0.6142275897710374,0.2581720874677905,0.36354075584575574,0.7103259295860946,0.5533010671695664,0.8034555053853599,0.3407992098528204
1718994193,COS-contrast,1,2,0,0.6874659299722498,0.21605038291270445,0.3287760836009503,0.7700904065210518,0.3733319323207265,0.8513951860128076,0.37281964390042444
1718999869,COS-contrast,1,2,1,0.6668488215954618,0.2056979069404931,0.31441160080464037,0.7569738178772044,0.44774029774780144,0.8374039034098342,0.27549355488464167
1719005284,COS-contrast,1,2,2,0.6216769800285088,0.19485314768131384,0.29670850416585554,0.687817481803766,0.4543629387279816,0.8459085419975892,0.2613022399403214
1719028945,COS-contrast-feature,1,2,0,0.6949203848383088,0.20775946021012612,0.31988369926498883,0.7875392045467765,0.366163599209556,0.8394902745901659,0.3623548476781418
1719034715,COS-contrast-feature,1,2,1,0.6475224443547206,0.2183568163890574,0.32658349933986075,0.8171302783661417,0.347708763612246,0.754394865182987,0.4115191265520998
1719040167,COS-contrast-feature,1,2,2,0.6670522936598037,0.23979166269801086,0.35276979568928846,0.8210734719643659,0.3626842376867134,0.7734072562479228,0.4405488278634553
1719057328,test_alpha5_beta5,1,2,0,0.6892260998534498,0.2620514327379326,0.3797265903147434,0.7940023152081537,0.44371823751973033,0.8303687387096365,0.41800760084210464
1719063182,test_alpha5_beta5,1,2,1,0.659182953200625,0.2532812035250883,0.36595114558579644,0.781599904740645,0.5473069516492208,0.8075206757762765,0.3106736273788432
1719068730,test_alpha5_beta5,1,2,2,0.6162172682322503,0.2586945956749536,0.36440716746338286,0.7044514419924636,0.5497010440525159,0.8069787112573893,0.3536417939904314
1719135457,test_alpha25_beta90,1,2,0,0.6733000831547554,0.2556189731703474,0.37055602362687173,0.7845421760151765,0.4289792340704087,0.8226077786829159,0.4586458533624257
1719141266,test_alpha25_beta90,1,2,1,0.6471057717593747,0.25874692283722,0.36967738395370675,0.7951213820796255,0.5148931253923544,0.781986862065502,0.3431901868985974
1719146810,test_alpha25_beta90,1,2,2,0.614399510214806,0.2529713149544949,0.35838293725431636,0.7081073697738269,0.5357197129089066,0.8039754416166367,0.35305293440960894
1719170542,test_alpha25_beta75_bkg,1,2,0,0.6631286318779137,0.2656859105724055,0.37937376372752213,0.7846371119954589,0.43866861290365805,0.8053475759606772,0.4256434669789998
1719176374,test_alpha25_beta75_bkg,1,2,1,0.660290065715966,0.24595430964152717,0.3584048446364489,0.8002915000488653,0.5023151729004146,0.7886447939428067,0.32255526091048087
1719181915,test_alpha25_beta75_bkg,1,2,2,0.6308692798124939,0.2346359884512152,0.3420536939059034,0.7245512576712576,0.4830619089196643,0.7979852197657539,0.3467109756740811
1720628217,prev_alpha5_beta5,1,2,0,0.6916484435750895,0.26401380608398006,0.3821532934370154,0.7972436079028777,0.44320056366653865,0.8307292205912414,0.4157923528125943
1720634105,prev_alpha5_beta5,1,2,1,0.653733269264642,0.25673263952822056,0.36867864275829365,0.7831380470178401,0.5610268309483157,0.8034137426329327,0.3120155136221967
