1717349742,COS,0,-1,0,0.7444638578786194,0,0.8580465723349785,0,0.8379328735595474,0
1717445970,COS-contrast,0,-1,0,0.7390142585118464,0,0.8558458123945991,0,0.8319802172883162,0
1717504166,COS-contrast-005,0,-1,0,0.7504290861849913,0,0.8616538500506,0,0.8431900515948713,0
1717509715,COS-contrast-01,0,-1,0,0.749967976472221,0,0.8641366698306892,0,0.8401270674114245,0
1733204059,COS-mixup,0,-1,0,0.7374571175986051,0,0.0,0.8534974595319674,0,0.8334875540284052,0
1733849339,COS-mixup-manifold-1,0,-1,0,0.7473927976612846,0,0.0,0.8608504556021506,0,0.8402364593430341,0
1733899438,COS-mixup-manifold-4,0,-1,0,0.7513407576062007,0,0.0,0.8597835134889568,0,0.8436980502694524,0
1733910605,COS-mixup-manifold-3,0,-1,0,0.7497506062465146,0,0.0,0.8650059832539362,0,0.8353337189797552,0
